unit_nr,time_cycles,op_setting_1,op_setting_2,sensor_2,sensor_3,sensor_4,sensor_7,sensor_11,sensor_12,sensor_15,sensor_21,failure_within_30
1,1,-0.0007,-0.0004,641.82,1589.7,1400.6,554.36,47.47,521.66,8.4195,23.419,0
1,2,0.0019,-0.0003,642.15,1591.82,1403.14,553.75,47.49,522.28,8.4318,23.4236,0
1,3,-0.0043,0.0003,642.35,1587.99,1404.2,554.26,47.27,522.42,8.4178,23.3442,0
1,4,0.0007,0.0,642.35,1582.79,1401.87,554.45,47.13,522.86,8.3682,23.3739,0
1,5,-0.0019,-0.0002,642.37,1582.85,1406.22,554.0,47.28,522.19,8.4294,23.4044,0
1,6,-0.0043,-0.0001,642.1,1584.47,1398.37,554.67,47.16,521.68,8.4108,23.3669,0
1,7,0.001,0.0001,642.48,1592.32,1397.77,554.34,47.36,522.32,8.3974,23.3774,0
1,8,-0.0034,0.0003,642.56,1582.96,1400.97,553.85,47.24,522.47,8.4076,23.3106,0
1,9,0.0008,0.0001,642.12,1590.98,1394.8,553.69,47.29,521.79,8.3728,23.4066,0
1,10,-0.0033,0.0001,641.71,1591.24,1400.46,553.59,47.03,521.79,8.4286,23.4694,0
1,11,0.0018,-0.0003,642.28,1581.75,1400.64,554.54,47.15,521.4,8.434,23.4787,0
1,12,0.0016,0.0002,642.06,1583.41,1400.15,554.52,47.18,521.8,8.3938,23.366,0
1,13,-0.0019,0.0004,643.07,1582.19,1400.83,553.44,47.38,521.85,8.4152,23.2757,0
1,14,0.0009,-0.0,642.35,1592.95,1399.16,554.48,47.44,521.67,8.3964,23.3826,0
1,15,-0.0018,-0.0003,642.43,1583.82,1402.13,553.64,47.3,522.5,8.4199,23.35,0
1,16,0.0006,0.0005,642.13,1587.98,1404.5,553.94,47.24,521.49,8.3936,23.455,0
1,17,0.0002,0.0002,642.58,1584.96,1399.95,553.8,47.12,521.89,8.4542,23.3319,0
1,18,-0.0031,-0.0001,642.62,1591.04,1396.12,554.2,47.21,521.76,8.4028,23.3987,0
1,19,0.0032,-0.0003,641.79,1587.56,1400.35,554.18,47.4,521.89,8.4321,23.3464,0
1,20,-0.0037,0.0001,643.04,1581.11,1405.23,554.81,47.22,522.07,8.421,23.422,0
1,21,-0.0012,0.0001,642.37,1586.07,1398.13,554.08,47.15,522.42,8.4049,23.3101,0
1,22,0.0002,0.0,642.77,1592.93,1400.57,553.63,47.24,522.0,8.4034,23.3792,0
1,23,0.0034,-0.0003,642.14,1588.19,1394.75,553.98,47.25,521.52,8.424,23.4562,0
1,24,-0.001,0.0003,642.38,1590.83,1398.81,553.49,47.44,522.13,8.3891,23.3696,0
1,25,0.0023,-0.0004,642.77,1594.1,1399.39,554.0,47.36,522.56,8.3917,23.4288,0
1,26,0.0,0.0002,642.16,1589.08,1396.07,554.11,47.26,522.28,8.426,23.4149,0
1,27,-0.0012,-0.0004,642.44,1590.47,1401.84,554.07,47.37,522.0,8.4046,23.4472,0
1,28,-0.0024,0.0005,642.35,1582.84,1399.13,554.68,47.41,522.57,8.4323,23.2841,0
1,29,0.0012,-0.0001,641.91,1584.83,1400.99,554.25,47.24,522.41,8.4189,23.3597,0
1,30,-0.0022,0.0,642.2,1593.52,1396.08,554.37,47.4,522.19,8.4065,23.411,0
1,31,0.0014,0.0005,642.02,1584.18,1396.9,554.13,47.41,521.95,8.4104,23.3353,0
1,32,0.0005,-0.0003,642.33,1591.38,1400.36,554.96,47.25,521.92,8.4148,23.4999,0
1,33,-0.0042,-0.0004,642.71,1588.4,1402.43,554.61,47.28,521.91,8.3753,23.3506,0
1,34,0.0015,-0.0001,642.54,1581.47,1400.48,554.3,47.47,521.7,8.4349,23.3092,0
1,35,0.0003,0.0002,642.44,1590.0,1403.0,554.3,47.31,521.75,8.443,23.4164,0
1,36,-0.0004,-0.0002,642.54,1581.72,1405.54,554.53,47.25,522.32,8.4246,23.4308,0
1,37,-0.0004,-0.0,641.99,1579.11,1398.9,554.63,47.29,522.29,8.4142,23.4352,0
1,38,-0.0018,-0.0002,641.93,1589.6,1399.5,554.7,47.27,522.42,8.4158,23.4768,0
1,39,-0.003,-0.0001,642.01,1583.21,1400.69,553.97,47.12,522.23,8.414,23.3699,0
1,40,-0.0,-0.0004,642.24,1582.08,1401.77,554.57,47.33,521.84,8.3784,23.3769,0
1,41,0.0033,0.0004,642.4,1591.31,1403.21,553.72,47.09,522.07,8.437,23.4444,0
1,42,0.0005,-0.0004,642.12,1584.66,1401.38,553.94,47.49,522.23,8.4137,23.375,0
1,43,-0.0027,0.0005,642.24,1591.52,1406.05,553.68,47.32,522.74,8.4068,23.3148,0
1,44,-0.0001,0.0002,641.93,1586.94,1401.2,554.15,47.45,522.3,8.4201,23.4753,0
1,45,-0.0013,-0.0,642.53,1582.42,1399.16,553.83,47.45,521.73,8.4099,23.3943,0
1,46,0.0003,0.0001,642.43,1588.29,1401.27,553.76,47.2,522.02,8.3977,23.3745,0
1,47,0.0,0.0005,642.21,1580.32,1402.89,554.38,47.22,521.84,8.3973,23.4873,0
1,48,0.0019,0.0001,641.89,1588.51,1399.16,554.02,47.4,521.91,8.4376,23.365,0
1,49,-0.0014,0.0005,642.23,1584.35,1397.76,554.23,47.22,521.37,8.4151,23.4498,0
1,50,-0.0032,-0.0001,642.77,1588.49,1403.62,553.92,47.47,522.33,8.4116,23.4106,0
1,51,-0.001,0.0003,642.81,1585.54,1400.42,553.73,47.12,521.91,8.4504,23.3651,0
1,52,0.0018,-0.0001,642.76,1583.77,1395.57,553.04,47.07,522.1,8.4539,23.3388,0
1,53,0.0021,-0.0001,642.61,1579.82,1402.26,554.16,47.29,521.96,8.4418,23.3775,0
1,54,-0.0002,0.0005,642.42,1592.59,1401.2,553.95,47.38,522.44,8.4189,23.2348,0
1,55,0.0009,-0.0,642.41,1584.95,1401.58,554.45,47.4,522.11,8.4071,23.3567,0
1,56,0.0007,-0.0002,642.49,1586.33,1400.76,553.98,47.26,522.48,8.4022,23.3408,0
1,57,-0.0033,0.0,642.13,1583.67,1402.79,553.42,47.29,521.62,8.4263,23.3567,0
1,58,-0.0014,0.0001,641.9,1590.46,1397.99,554.14,47.26,522.21,8.4319,23.2893,0
1,59,-0.0006,0.0002,642.33,1596.72,1403.51,554.62,47.26,521.32,8.4476,23.4444,0
1,60,-0.001,-0.0002,642.34,1582.75,1403.07,554.0,47.41,522.49,8.3878,23.387,0
1,61,0.0004,0.0005,642.1,1583.55,1405.52,554.09,47.31,522.34,8.4264,23.3638,0
1,62,0.0004,0.0001,642.17,1581.59,1399.54,554.45,47.28,522.19,8.4071,23.2707,0
1,63,0.0015,0.0002,642.6,1592.14,1395.38,553.48,47.51,521.56,8.4357,23.3436,0
1,64,0.0017,0.0002,642.23,1584.51,1400.11,553.88,47.45,521.82,8.4066,23.384,0
1,65,-0.0,0.0005,642.28,1584.72,1403.24,553.97,47.56,521.54,8.4406,23.3752,0
1,66,-0.0007,-0.0004,642.5,1588.5,1399.52,554.0,47.14,521.76,8.3911,23.3152,0
1,67,0.0016,-0.0004,642.33,1590.22,1403.02,554.31,47.39,522.64,8.3925,23.291,0
1,68,-0.0018,0.0,642.51,1582.06,1404.42,554.04,47.36,521.72,8.4242,23.3174,0
1,69,-0.0022,0.0005,642.44,1590.7,1401.24,554.65,47.41,522.22,8.4292,23.3742,0
1,70,-0.0005,0.0002,642.22,1584.02,1402.78,554.01,47.41,521.93,8.4279,23.4513,0
1,71,0.0016,-0.0003,642.21,1580.41,1403.09,554.06,47.3,521.72,8.423,23.3881,0
1,72,-0.0017,0.0001,642.41,1579.25,1406.81,553.76,47.27,521.97,8.3951,23.3085,0
1,73,-0.0012,-0.0002,642.29,1592.04,1397.93,553.88,47.29,522.04,8.404,23.3975,0
1,74,0.0027,0.0001,642.96,1584.65,1401.48,554.03,47.58,522.25,8.4135,23.382,0
1,75,0.0009,-0.0004,641.96,1582.32,1394.82,553.6,47.22,521.77,8.4621,23.3521,0
1,76,-0.0015,0.0002,642.21,1589.21,1398.94,553.66,47.44,521.58,8.3996,23.4428,0
1,77,0.0022,0.0004,642.55,1586.3,1400.97,554.61,47.41,521.6,8.453,23.275,0
1,78,0.004,0.0002,641.99,1580.76,1404.1,553.47,47.4,522.28,8.3793,23.3486,0
1,79,0.0022,-0.0002,642.12,1582.46,1403.93,553.77,47.35,521.85,8.4132,23.3121,0
1,80,-0.0002,-0.0004,641.94,1591.96,1393.58,553.91,47.64,521.52,8.4235,23.3613,0
1,81,-0.0018,-0.0004,642.73,1584.82,1402.04,553.88,47.43,521.66,8.4247,23.373,0
1,82,-0.0012,0.0001,642.04,1589.07,1399.17,554.18,47.25,521.95,8.3986,23.2713,0
1,83,0.0004,0.0005,642.66,1588.05,1406.38,553.49,47.22,521.93,8.4128,23.3274,0
1,84,0.0005,0.0002,642.64,1585.52,1406.6,553.91,47.38,521.54,8.4139,23.2653,0
1,85,0.0025,0.0003,642.28,1590.12,1405.96,554.4,47.36,522.3,8.4499,23.284,0
1,86,-0.0012,0.0004,641.84,1588.8,1403.56,553.69,47.38,521.82,8.4173,23.3945,0
1,87,0.0,-0.0004,642.33,1586.69,1413.1,554.1,47.34,521.43,8.4326,23.3402,0
1,88,0.0029,0.0003,641.96,1581.29,1406.09,554.48,47.46,522.2,8.4586,23.3086,0
1,89,0.0008,-0.0001,642.24,1584.73,1402.22,553.91,47.46,521.55,8.4489,23.3288,0
1,90,0.0017,-0.0001,642.67,1584.38,1412.93,552.88,47.32,521.49,8.3961,23.4712,0
1,91,0.0025,-0.0004,641.98,1584.84,1404.76,553.54,47.32,521.55,8.3949,23.3842,0
1,92,0.001,-0.0002,642.89,1590.03,1400.77,553.81,47.45,521.91,8.3982,23.3522,0
1,93,0.0032,0.0002,642.85,1593.74,1408.48,554.07,47.46,521.43,8.421,23.2477,0
1,94,-0.0021,0.0002,642.45,1583.27,1404.94,553.86,47.48,521.61,8.4524,23.3758,0
1,95,0.0019,0.0003,642.86,1577.6,1410.1,553.91,47.38,521.92,8.4575,23.3269,0
1,96,-0.0034,0.0001,642.19,1584.07,1395.16,553.34,47.39,521.66,8.4311,23.3255,0
1,97,0.0035,-0.0003,642.07,1595.77,1407.81,553.4,47.46,521.67,8.4105,23.2963,0
1,98,0.0006,0.0004,642.0,1591.11,1404.56,552.75,47.37,522.31,8.4012,23.2554,0
1,99,-0.0005,-0.0,642.46,1592.73,1406.13,553.76,47.4,521.42,8.4481,23.2323,0
1,100,-0.0021,-0.0003,642.22,1589.63,1411.35,554.22,47.64,521.55,8.4241,23.409,0
1,101,0.0012,0.0003,642.75,1584.18,1403.41,553.37,47.62,521.89,8.4353,23.4149,0
1,102,0.0017,0.0005,642.85,1589.11,1403.42,553.42,47.49,521.38,8.4561,23.3653,0
