weight_kg,cruise_speed_kts,altitude_ft,outside_temp_c,fuel_flow_kgph
20000.0,210.0,10000.0,-15.0,1161.72
20000.0,210.0,10000.0,-5.0,1159.82
20000.0,210.0,10000.0,5.0,1158.05
20000.0,210.0,20000.0,-35.0,1222.24
20000.0,210.0,20000.0,-25.0,1217.68
20000.0,210.0,20000.0,-15.0,1213.47
20000.0,210.0,24000.0,-43.0,1249.69
20000.0,210.0,24000.0,-33.0,1243.81
20000.0,210.0,24000.0,-23.0,1238.41
20000.0,210.0,30000.0,-55.0,1294.57
20000.0,210.0,30000.0,-45.0,1286.45
20000.0,210.0,30000.0,-35.0,1279.0
20000.0,230.0,10000.0,-15.0,1072.52
20000.0,230.0,10000.0,-5.0,1071.21
20000.0,230.0,10000.0,5.0,1070.0
20000.0,230.0,20000.0,-35.0,1115.24
20000.0,230.0,20000.0,-25.0,1111.95
20000.0,230.0,20000.0,-15.0,1108.93
20000.0,230.0,24000.0,-43.0,1135.18
20000.0,230.0,24000.0,-33.0,1130.88
20000.0,230.0,24000.0,-23.0,1126.95
20000.0,230.0,30000.0,-55.0,1168.38
20000.0,230.0,30000.0,-45.0,1162.32
20000.0,230.0,30000.0,-35.0,1156.79
20000.0,250.0,10000.0,-15.0,1018.37
20000.0,250.0,10000.0,-5.0,1017.56
20000.0,250.0,10000.0,5.0,1016.8
20000.0,250.0,20000.0,-35.0,1046.31
20000.0,250.0,20000.0,-25.0,1044.09
20000.0,250.0,20000.0,-15.0,1042.05
20000.0,250.0,24000.0,-43.0,1060.01
20000.0,250.0,24000.0,-33.0,1057.03
20000.0,250.0,24000.0,-23.0,1054.32
20000.0,250.0,30000.0,-55.0,1083.48
20000.0,250.0,30000.0,-45.0,1079.15
20000.0,250.0,30000.0,-35.0,1075.21
20000.0,270.0,10000.0,-15.0,989.82
20000.0,270.0,10000.0,-5.0,989.42
20000.0,270.0,10000.0,5.0,989.06
20000.0,270.0,20000.0,-35.0,1005.2
20000.0,270.0,20000.0,-25.0,1003.88
20000.0,270.0,20000.0,-15.0,1002.67
20000.0,270.0,24000.0,-43.0,1013.63
20000.0,270.0,24000.0,-33.0,1011.77
20000.0,270.0,24000.0,-23.0,1010.08
20000.0,270.0,30000.0,-55.0,1028.9
20000.0,270.0,30000.0,-45.0,1026.02
20000.0,270.0,30000.0,-35.0,1023.42
24000.0,210.0,10000.0,-15.0,1514.05
24000.0,210.0,10000.0,-5.0,1511.01
24000.0,210.0,10000.0,5.0,1508.19
24000.0,210.0,20000.0,-35.0,1608.76
24000.0,210.0,20000.0,-25.0,1601.73
24000.0,210.0,20000.0,-15.0,1595.23
24000.0,210.0,24000.0,-43.0,1650.67
24000.0,210.0,24000.0,-33.0,1641.74
24000.0,210.0,24000.0,-23.0,1633.51
24000.0,210.0,30000.0,-55.0,1718.09
24000.0,210.0,30000.0,-45.0,1705.99
24000.0,210.0,30000.0,-35.0,1694.85
24000.0,230.0,10000.0,-15.0,1365.75
24000.0,230.0,10000.0,-5.0,1363.45
24000.0,230.0,10000.0,5.0,1361.32
24000.0,230.0,20000.0,-35.0,1438.47
24000.0,230.0,20000.0,-25.0,1433.01
24000.0,230.0,20000.0,-15.0,1427.96
24000.0,230.0,24000.0,-43.0,1471.26
24000.0,230.0,24000.0,-33.0,1464.25
24000.0,230.0,24000.0,-23.0,1457.8
24000.0,230.0,30000.0,-55.0,1524.65
24000.0,230.0,30000.0,-45.0,1515.01
24000.0,230.0,30000.0,-35.0,1506.16
24000.0,250.0,10000.0,-15.0,1264.91
