callsign,latitude,longitude,altitude_m,velocity_mps,heading_deg
N2085V,35.9505,-115.1362,899.16,45.1,191.18
N851TA,34.2197,-118.4913,236.22,39.73,175.54
UAL1756,34.3655,-118.8992,2750.82,149.83,138.76
a58e1e,37.6753,-117.4795,10279.38,254.63,131.97
N156XL,34.9247,-118.898,6240.78,192.66,335.21
UPS5609,34.8831,-116.3332,7048.5,207.5,222.79
N1006G,34.5799,-117.8229,3726.18,98.32,284.55
LS10,32.5568,-117.1126,30.48,34.85,8.49
BXR1960,36.6656,-121.6075,1508.76,106.33,125.15
N677AM,36.2138,-115.1728,876.3,43.41,148.57
N2863U,32.9723,-117.2811,1920.24,40.86,349.11
N831MT,38.2366,-121.545,2956.56,150.48,38.48
DAL979,33.9423,-118.4835,525.78,98.34,263.69
AAL1746,38.3844,-115.2841,11452.86,247.02,88.45
AAL14,33.7835,-118.0543,1767.84,114.62,343.84
WSN24,37.2763,-119.354,7193.28,148.68,89.8
N484SJ,33.1088,-117.4841,2697.48,124.23,286.11
N478CA,35.4281,-119.0527,114.3,30.56,315.0
a6a435,32.0554,-119.1434,2004.06,120.35,207.77
N63177,34.2003,-119.1818,91.44,40.28,241.8
AMX649,33.8073,-118.5197,1744.98,140.97,180.63
N604PG,38.4127,-120.6366,982.98,47.54,76.87
SKW3398,32.7709,-117.0313,1722.12,113.63,106.3
SWA955,36.8498,-121.5816,3116.58,151.94,341.44
AMF1930,34.4101,-118.9313,2240.28,114.23,91.03
N525KA,35.5805,-118.8662,9669.78,209.61,160.05
AAL694,33.4739,-115.0598,10637.52,250.02,90.35
SWA956,36.9285,-119.803,10279.38,211.69,68.17
N473CA,32.7698,-117.0231,708.66,46.72,298.26
SWA1870,35.0964,-119.0536,11826.24,200.62,299.33
SIA7429,33.8702,-119.1022,11224.26,242.36,263.42
N72RW,33.568,-117.9172,2057.4,82.93,217.44
SKW5480,35.4548,-119.837,10934.7,255.15,149.19
N2123L,35.7503,-119.4863,2895.6,101.15,133.76
ASA702,34.8994,-118.8556,11231.88,206.45,341.25
N5296Z,35.6069,-115.3351,2065.02,47.34,250.97
N908KB,33.7548,-118.2799,304.8,65.87,336.04
N886AW,32.4695,-116.7812,1005.84,77.99,296.23
N703WP,33.9686,-118.1262,76.2,22.34,61.07
ASA526,37.6484,-122.24,2491.74,135.96,110.84
UAL1768,36.1024,-115.107,10561.32,205.78,298.36
UAL2441,37.9731,-118.0377,11742.42,209.55,250.94
VOI1820,32.606,-115.5648,11163.3,201.55,302.07
PCM8704,34.3032,-119.4263,1828.8,78.44,274.51
ASA941,37.3573,-123.7339,8191.5,199.78,251.84
SWA2960,35.8925,-115.771,6964.68,193.49,271.37
SWA614,36.0737,-115.1133,685.8,74.08,269.6
UAL2667,34.6857,-115.9842,9273.54,224.75,186.57
TSU8122,32.4075,-116.8126,1805.94,86.77,78.02
N724JJ,36.7275,-121.5585,5928.36,221.84,157.36
