profile,route,events,event_count,mission_mode,mission_success,risk_index,distance_nm,fuel_required_kg,revised_fuel_required_kg,revised_fuel_margin_kg,critical_collision_alerts,critical_cyber_alerts,critical_collision_truth,critical_cyber_truth,top_maintenance_prob_truth,atc_conflicts,emergency_triggered,actions
no_collision,SFO-LAX,none,0,nominal,1,0.0,293.55,2538.0,2538.0,3062.0,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_collision,SFO-LAX,none,0,nominal,1,0.0,293.55,2942.1,2942.1,2657.9,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_collision,SFO-LAX,engine_thrust_loss,1,degraded,1,0.05,293.55,2613.4,3083.8,2516.2,0,0,0,0,0.1158,0,0,Predictive maintenance escalated and emergency power profile enabled
no_collision,SFO-LAX,none,0,nominal,1,0.0,293.55,2724.5,2724.5,2875.5,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_collision,SFO-LAX,none,0,nominal,1,0.0,293.55,3056.4,3056.4,2543.6,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_collision,SFO-LAX,none,0,nominal,1,0.0,293.55,2662.0,2662.0,2938.0,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_collision,SFO-LAX,none,0,nominal,1,0.0,293.55,3015.4,3015.4,2584.6,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_collision,SFO-LAX,none,0,nominal,1,0.0,293.55,2814.8,2814.8,2785.2,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_collision,SFO-LAX,engine_thrust_loss,1,degraded,1,0.05,293.55,2908.6,3432.1,2167.9,0,0,0,0,0.1158,0,0,Predictive maintenance escalated and emergency power profile enabled
no_collision,SFO-LAX,none,0,nominal,1,0.0,293.55,2803.8,2803.8,2796.2,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_collision,SEA-LAS,"convective_weather_burst,atc_link_loss",2,degraded,0,0.1924,753.11,5944.3,7057.1,-462.1,0,0,0,0,0.1158,0,0,Dynamic reroute generated with storm-cell standoff | Autonomy set to procedural hold until comms restored | Fuel-critical procedure triggered: priority landing and emergency declaration
no_collision,SEA-LAS,none,0,nominal,1,0.0,753.11,6074.4,6074.4,409.5,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_collision,SEA-LAS,none,0,nominal,1,0.0,753.11,5587.9,5587.9,772.8,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_collision,SEA-LAS,none,0,nominal,1,0.0,753.11,5755.1,5755.1,753.3,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_collision,SEA-LAS,none,0,nominal,1,0.0,753.11,6081.6,6081.6,842.2,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_collision,SEA-LAS,none,0,nominal,1,0.0,753.11,5934.7,5934.7,740.1,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_collision,SEA-LAS,none,0,nominal,1,0.0,753.11,5827.4,5827.4,459.2,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_collision,SEA-LAS,convective_weather_burst,1,degraded,0,0.1583,753.11,6199.1,7359.6,-541.6,0,0,0,0,0.1158,0,0,Dynamic reroute generated with storm-cell standoff | Fuel-critical procedure triggered: priority landing and emergency declaration
no_collision,SEA-LAS,none,0,nominal,1,0.0,753.11,5786.3,5786.3,925.6,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_collision,SEA-LAS,none,0,nominal,1,0.0,753.11,5760.3,5760.3,582.8,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_collision,JFK-LAX,none,0,nominal,1,0.0,2145.97,14257.6,14257.6,590.3,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
