profile,route,events,event_count,mission_mode,mission_success,risk_index,distance_nm,fuel_required_kg,revised_fuel_required_kg,revised_fuel_margin_kg,critical_collision_alerts,critical_cyber_alerts,critical_collision_truth,critical_cyber_truth,top_maintenance_prob_truth,atc_conflicts,emergency_triggered,actions
no_contingency,SFO-LAX,none,0,unmanaged,1,0.0,293.55,2892.0,2892.0,2708.0,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SFO-LAX,none,0,unmanaged,1,0.0,293.55,2946.3,2946.3,2653.7,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SFO-LAX,none,0,unmanaged,1,0.0,293.55,3046.0,3046.0,2554.0,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SFO-LAX,none,0,unmanaged,1,0.0,293.55,2981.8,2981.8,2618.2,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SFO-LAX,none,0,unmanaged,1,0.0,293.55,3207.0,3207.0,2393.0,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SFO-LAX,none,0,unmanaged,1,0.0,293.55,2601.7,2601.7,2998.3,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SFO-LAX,none,0,unmanaged,1,0.0,293.55,2938.6,2938.6,2661.4,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SFO-LAX,convective_weather_burst,1,unmanaged,1,0.13,293.55,2694.7,3114.0,2486.0,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SFO-LAX,none,0,unmanaged,1,0.0,293.55,2914.0,2914.0,2686.0,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SFO-LAX,none,0,unmanaged,1,0.0,293.55,2971.9,2971.9,2628.1,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SEA-LAS,"gnss_spoofing,convective_weather_burst,atc_link_loss",3,unmanaged,0,0.6733,753.11,5739.5,6968.2,-216.5,0,2,0,2,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SEA-LAS,none,0,unmanaged,1,0.0,753.11,5542.5,5542.5,788.0,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SEA-LAS,none,0,unmanaged,1,0.0,753.11,5630.4,5630.4,680.5,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SEA-LAS,engine_thrust_loss,1,unmanaged,0,0.3095,753.11,5857.5,7146.1,-897.7,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SEA-LAS,none,0,unmanaged,1,0.0,753.11,5831.0,5831.0,943.0,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SEA-LAS,convective_weather_burst,1,unmanaged,1,0.13,753.11,5135.3,5934.4,92.8,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SEA-LAS,convective_weather_burst,1,unmanaged,1,0.13,753.11,5415.6,6258.3,30.0,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SEA-LAS,none,0,unmanaged,1,0.0,753.11,5754.4,5754.4,494.2,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SEA-LAS,convective_weather_burst,1,unmanaged,1,0.13,753.11,5012.2,5792.1,176.0,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,SEA-LAS,none,0,unmanaged,1,0.0,753.11,5594.8,5594.8,1034.3,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,JFK-LAX,atc_link_loss,1,unmanaged,1,0.13,2145.97,14798.1,15094.1,253.6,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,JFK-LAX,gnss_spoofing,1,unmanaged,0,0.5464,2145.97,16488.1,16982.7,-82.1,0,2,0,2,0.1158,0,0,Contingency/autonomous response module disabled
no_contingency,JFK-LAX,none,0,unmanaged,1,0.0,2145.97,14507.9,14507.9,899.7,0,0,0,0,0.1158,0,0,Contingency/autonomous response module disabled
