waypoint_idx,distance_nm,elapsed_min,target_altitude_ft,groundspeed_kts,segment_fuel_kg,cumulative_fuel_kg,remaining_fuel_kg
1,17.25,3.98,5000.0,260.1,85.11,85.11,5314.89
2,34.51,7.96,9750.0,260.1,85.11,170.21,5229.79
3,51.76,11.94,14500.0,260.1,85.11,255.32,5144.68
4,69.02,15.92,19250.0,260.1,85.11,340.42,5059.58
5,86.27,19.9,24000.0,260.1,85.11,425.53,4974.47
6,103.53,23.88,24000.0,260.1,85.11,510.63,4889.37
7,120.78,27.86,24000.0,260.1,85.11,595.74,4804.26
8,138.04,31.84,24000.0,260.1,85.11,680.84,4719.16
9,155.29,35.82,24000.0,260.1,85.11,765.95,4634.05
10,172.55,39.89,24000.0,254.5,86.98,852.93,4547.07
11,189.8,43.96,24000.0,254.5,86.98,939.91,4460.09
12,207.06,48.03,24000.0,254.5,86.98,1026.89,4373.11
13,224.31,52.09,24000.0,254.5,86.98,1113.86,4286.14
14,241.56,56.16,22750.0,254.5,86.98,1200.84,4199.16
15,258.82,60.23,16500.0,254.5,86.98,1287.82,4112.18
16,276.07,64.3,10250.0,254.5,86.98,1374.8,4025.2
17,293.33,68.37,4000.0,254.5,86.98,1461.78,3938.22
