profile,route,events,event_count,mission_mode,mission_success,risk_index,distance_nm,fuel_required_kg,revised_fuel_required_kg,revised_fuel_margin_kg,critical_collision_alerts,critical_cyber_alerts,critical_collision_truth,critical_cyber_truth,top_maintenance_prob_truth,atc_conflicts,emergency_triggered,actions
full,SFO-LAX,none,0,nominal,1,0.0,293.55,2724.9,2724.9,2875.1,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
full,SFO-LAX,none,0,nominal,1,0.0,293.55,2594.9,2594.9,3005.1,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
full,SFO-LAX,none,0,nominal,1,0.0,293.55,2779.9,2779.9,2820.1,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
full,SFO-LAX,none,0,nominal,1,0.0,293.55,2961.4,2961.4,2638.6,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
full,SFO-LAX,none,0,nominal,1,0.0,293.55,2893.5,2893.5,2706.5,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
full,SFO-LAX,none,0,nominal,1,0.0,293.55,2717.6,2717.6,2882.4,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
full,SFO-LAX,none,0,nominal,1,0.0,293.55,2998.0,2998.0,2602.0,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
full,SFO-LAX,none,0,nominal,1,0.0,293.55,2541.6,2541.6,3058.4,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
full,SFO-LAX,convective_weather_burst,1,nominal,1,0.05,293.55,2993.3,3553.6,2046.4,0,0,0,0,0.1158,0,0,Dynamic reroute generated with storm-cell standoff
full,SFO-LAX,destination_runway_blocked,1,divert,1,0.05,293.55,2857.9,3615.2,1984.8,0,0,0,0,0.1158,0,0,Diversion activated to LAS
full,SFO-LAX,none,0,nominal,1,0.0,293.55,2876.0,2876.0,2724.0,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
full,SFO-LAX,atc_link_loss,1,degraded,1,0.05,293.55,2537.4,2537.4,3062.6,0,0,0,0,0.1158,0,0,Autonomy set to procedural hold until comms restored
full,SFO-LAX,convective_weather_burst,1,nominal,1,0.05,293.55,3064.2,3637.8,1962.2,0,0,0,0,0.1158,0,0,Dynamic reroute generated with storm-cell standoff
full,SFO-LAX,none,0,nominal,1,0.0,293.55,3028.0,3028.0,2572.0,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
full,SFO-LAX,convective_weather_burst,1,nominal,1,0.05,293.55,2860.3,3395.7,2204.3,0,0,0,0,0.1158,0,0,Dynamic reroute generated with storm-cell standoff
